Metric group,Metric,Direction,Reference score,latxa_8b_instruct | P0 translation score,latxa_8b_instruct | P4 SFT translation score,latxa_8b_instruct | P5 GRPO A2 translation score,latxa_8b_instruct | P5 GRPO A5 translation score,salamandrata_7b_instruct | P0 translation score,salamandrata_7b_instruct | P4 SFT translation score,salamandrata_7b_instruct | P5 GRPO A2 translation score,salamandrata_7b_instruct | P5 GRPO A5 translation score
Adequacy,bleu,higher is better,,13.97072664039368,14.873839521681427,12.998086618541224,12.69739881478187,16.393183249930026,16.089144584693393,15.467281988247064,15.580792890267528
Adequacy,chrf pp,higher is better,,47.44943194409667,46.39858408181485,48.116968706387894,46.65462529683213,49.576809045177285,48.84276201781109,49.941691131991824,49.1378786512639
Adequacy,comet,higher is better,,0.8265863759750735,0.823991267967728,0.8447672144031273,0.8449224866680614,0.8403421829760941,0.8353817529848419,0.8487530407376459,0.8467619730506579
Adequacy,comet qe,higher is better,0.6579982546432488,0.7320728168245824,0.7343291994602551,0.7852775013194846,0.7714211435267601,0.7656436996778062,0.7479932351404484,0.7786964652875298,0.7692346685864966
Adequacy,cometkiwi,higher is better,0.6579982546432488,0.7320728168245824,0.7343291994602551,0.7852775013194846,0.7714211435267601,0.7656436996778062,0.7479932351404484,0.7786964652875298,0.7692346685864966
Adequacy,metricx,lower is better,,4.175803693589635,3.980871689229062,3.250639393827244,3.4110325012292066,3.5054303308065533,3.660254530421651,3.2051000145892643,3.301711255760772
Adequacy,ter,lower is better,,82.44003553449808,80.16977593524824,89.11262461751062,86.95094265126838,78.42266311321686,80.48563814036127,82.08469055374593,81.02852630539927
Adequacy,xcomet,higher is better,,0.7957991036331795,0.8196517619718964,0.8459548874705282,0.837197582405971,0.8447230726756066,0.8319664020165112,0.8601571057912065,0.8567411467688875
Astred,aligned source ratio,,,0.8487813452551406,0.8466154298162155,0.7966969071810887,0.8232371181810446,0.8575554849216419,0.8608494586615351,0.8337443530667122,0.8473373795876491
Astred,aligned target ratio,,,0.8727784806918003,0.8487893650140486,0.8996613062334211,0.8888732502195522,0.883467070242966,0.879297761655036,0.9006906056301315,0.8903253712245781
Astred,aligned word pairs,,,13.769401381927553,15.131782068624174,14.535121848756274,14.108516366837936,13.723522401422725,13.678563978956335,14.04812903536213,13.928296169317298
Astred,rows eligible,,,697.0,691.0,684.0,672.0,690.0,693.0,696.0,691.0
Astred,rows excluded sentence count mismatch,,,60.0,66.0,73.0,85.0,67.0,64.0,61.0,66.0
Astred,rows failed,,,0.0,509.0,0.0,0.0,0.0,0.0,0.0,0.0
Astred,rows scored,,,697.0,182.0,684.0,672.0,690.0,693.0,696.0,691.0
Astred,rows scored multisentence,,,40.0,11.0,35.0,31.0,40.0,35.0,41.0,36.0
Astred,rows total,,,757.0,757.0,757.0,757.0,757.0,757.0,757.0,757.0
Astred,sacr cross,lower means closer to reference structure,,7.112003317574366,7.558854521708774,7.6330002276429205,7.499564510091491,5.972938031632979,5.766625768302096,6.314280457707423,6.066345475680541
Astred,sentence pairs scored,,,739.0,194.0,720.0,704.0,732.0,730.0,739.0,729.0
Astred,seq cross,lower means closer to reference structure,,5.764100009117915,6.259035385047531,6.393884243702913,6.243183178263986,4.831617013044051,4.569677653191671,5.086581269760238,4.980825244323568
Astred,ted,lower means closer to reference structure,,10.264152410083582,11.617247802875333,11.151807214844036,10.654264328901661,9.6300459340231,10.206133790755846,10.018731742403881,9.818636810788234
Astred,word cross,lower means closer to reference structure,,12.252603071604785,12.175485209189661,12.791091161763505,12.018296966462165,10.885484827726156,10.76592615931832,11.475061815824079,11.427047014890231
Astred Source Prediction,aligned source ratio,,,0.7092046407457612,0.683471656188366,0.7243252300219081,0.7079802926437743,0.7101695499894164,0.6949170352852714,0.7222079841841282,0.7093214729608197
Astred Source Prediction,aligned target ratio,,,0.8374202748588836,0.8163380471965532,0.7685146136654969,0.7824094658652062,0.8291238097528055,0.8206333618586458,0.7977245040033634,0.8085982441248633
Astred Source Prediction,aligned word pairs,,,15.248980087822128,14.725217534922013,15.8949160583091,15.412658385927564,15.15871178952329,14.94084423530344,15.557968647532887,15.240109592138232
Astred Source Prediction,rows eligible,,,701.0,704.0,691.0,685.0,688.0,696.0,691.0,690.0
Astred Source Prediction,rows excluded sentence count mismatch,,,56.0,53.0,66.0,72.0,69.0,61.0,66.0,67.0
Astred Source Prediction,rows failed,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Astred Source Prediction,rows scored,,,701.0,704.0,691.0,685.0,688.0,696.0,691.0,690.0
Astred Source Prediction,rows scored multisentence,,,18.0,10.0,12.0,10.0,15.0,10.0,13.0,10.0
Astred Source Prediction,rows total,,,757.0,757.0,757.0,757.0,757.0,757.0,757.0,757.0
Astred Source Prediction,sacr cross,lower means closer to source structure,,10.944602204603592,11.049394720053744,13.246242889444286,13.326529616637973,12.939013779086913,12.59340448844076,14.139343910400244,13.308370786145085
Astred Source Prediction,sentence pairs scored,,,719.0,714.0,703.0,695.0,703.0,706.0,704.0,700.0
Astred Source Prediction,seq cross,lower means closer to source structure,,9.703294384522097,9.931429969383698,11.878930965915597,12.008214242580063,11.453805949917642,11.074688202287096,12.32396736141367,11.685642620666714
Astred Source Prediction,ted,lower means closer to source structure,,14.66057494496015,15.162554395504939,15.761348333096239,15.72009277147597,14.890019625756855,15.688251693622433,15.367787197722198,15.140577790667136
Astred Source Prediction,word cross,lower means closer to source structure,,14.404905653725184,14.065675504331342,17.09122992402865,16.967534933774825,16.91387303299529,16.39733924109727,18.224751685438132,17.243183568560745
Astred Source Reference,aligned source ratio,,0.6568369559565341,,,,,,,,
Astred Source Reference,aligned target ratio,,0.798478350017338,,,,,,,,
Astred Source Reference,aligned word pairs,,13.941681610879705,,,,,,,,
Astred Source Reference,rows eligible,,678.0,,,,,,,,
Astred Source Reference,rows excluded sentence count mismatch,,79.0,,,,,,,,
Astred Source Reference,rows failed,,0.0,,,,,,,,
Astred Source Reference,rows scored,,678.0,,,,,,,,
Astred Source Reference,rows scored multisentence,,11.0,,,,,,,,
Astred Source Reference,rows total,,757.0,,,,,,,,
Astred Source Reference,sacr cross,human reference structural distance from source; comparison baseline,12.364474433614559,,,,,,,,
Astred Source Reference,sentence pairs scored,,689.0,,,,,,,,
Astred Source Reference,seq cross,human reference structural distance from source; comparison baseline,11.146129602505374,,,,,,,,
Astred Source Reference,ted,human reference structural distance from source; comparison baseline,15.23786895488761,,,,,,,,
Astred Source Reference,word cross,human reference structural distance from source; comparison baseline,15.857666422447238,,,,,,,,
Frequency Profile Reference,text count,,,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0
Lexical Diversity,mattr 50,closer to reference is better,0.9118519968675938,0.9031254067118569,0.8930895653018988,0.8969734971991628,0.9006163056875545,0.9003075202683233,0.8770708955223288,0.9019704868780938,0.9002983988354599
Lexical Diversity,mtld,closer to reference is better,729.6581245230884,509.07598987982914,442.8331700624233,432.30195422488396,446.0613880212487,494.4144113774905,239.75977426526794,504.1540964233325,519.0591777761589
Lexical Diversity,token count,closer to reference is better,10265.0,10806.0,10332.0,12010.0,11407.0,10780.0,10769.0,11366.0,11041.0
Lexical Diversity,ttr,closer to reference is better,0.48173404773502193,0.41467703127891914,0.4162795199380565,0.3871773522064946,0.3898483387393706,0.41725417439703155,0.4161946327421302,0.4038360021115608,0.40956435105515804
Lexical Diversity,type count,closer to reference is better,4945.0,4481.0,4301.0,4650.0,4447.0,4498.0,4482.0,4590.0,4522.0
Lexical Diversity,yules i,closer to reference is better,348.2691519530398,303.97676888634356,250.12588041782067,273.965507417045,289.29106379005225,304.9048880959253,211.9406145602608,285.2164878350333,286.70806286219613
Lexical Diversity,yules k,closer to reference is better,28.713424499188456,32.89725078872387,39.97986926940781,36.500945298845465,34.56726201282636,32.79711277325907,47.18302823056462,35.061086671061986,34.87868426220862
Lexical Frequency Profile,b1 top 1000,closer to reference is better,0.47579152459814905,0.5314640014806589,0.5436507936507936,0.5534554537885096,0.5552730779346016,0.5293135435992579,0.5247469588634042,0.5386239662150273,0.5383570328774567
Lexical Frequency Profile,b2 1001 2000,closer to reference is better,0.07871407696054554,0.07745696835091616,0.08072009291521487,0.07710241465445462,0.07775927062330149,0.07291280148423006,0.0741015878911691,0.07821573112792539,0.07834435286658817
Lexical Frequency Profile,b3 beyond 2000,closer to reference is better,0.4454943984413054,0.39107903016842493,0.37562911343399147,0.3694421315570358,0.366967651442097,0.39777365491651206,0.40115145324542667,0.3831603026570473,0.3832986142559551
Morphological Diversity,morph inverse simpson optional,closer to reference is better,2.6198286478553108,2.5787520712725804,2.539557035432698,2.582079382710077,2.5613716816426386,2.5505729423757413,2.5739573398256264,2.6085031828845606,2.5921661950456767
Morphological Diversity,morph shannon entropy,closer to reference is better,0.9293535211638373,0.9242728339931545,0.9167543326056239,0.9385514371536772,0.9345164229198808,0.9239415236031927,0.923586345828331,0.9361867165763041,0.9336302523781612
Morphological Diversity,morph simpson d,closer to reference is better,0.4479404819458464,0.4505104475833496,0.4547507977139331,0.4465770523574997,0.44742706600829535,0.4523552548254697,0.4513934536605504,0.4467662417575842,0.44767446072744566
Overall,row count,,,757.0,757.0,757.0,757.0,757.0,757.0,757.0,757.0
Synonym Frequency Analysis,sfa cdu,closer to reference is better,0.3526199363476456,0.3641380866766178,0.3625213855425836,0.3603084667808405,0.35937732023461005,0.359881970352758,0.3622778999998896,0.362260886343068,0.35904775407007017
Synonym Frequency Analysis,sfa ptf,closer to reference is better,0.9116063816407852,0.9358384386569708,0.938536602930751,0.9319859213684185,0.9312708555507506,0.9321590938925343,0.9348530053952847,0.9361927791975284,0.9318706924751025
Synonym Frequency Analysis,sfa syn ttr,closer to reference is better,0.33976176971072036,0.290223586146427,0.307882994546356,0.2848939929328622,0.2926601215521272,0.280995280995281,0.29397818871503084,0.287659200702679,0.2911161731207289
