baseline	candidate	metric	direction	status	skip_reason	paired_rows	baseline_mean	candidate_mean	mean_delta_candidate_minus_baseline	bootstrap_ci_95_lower	bootstrap_ci_95_upper	randomization_p_value	holm_adjusted_p_value
P5_GRPO_A2	P5_GRPO_A5	sentence_bleu	higher_is_better	ok		2000	65.31751943345999	65.30870789325019	-0.008811540209797386	-0.649218394082257	0.6240764943292816	0.9769023097690231	1.0
P5_GRPO_A2	P5_GRPO_A5	sentence_chrf_pp	higher_is_better	ok		2000	80.77288349330414	80.52411004500111	-0.24877344830301176	-0.6295841241102981	0.12860087966765188	0.20287971202879712	1.0
P5_GRPO_A2	P5_GRPO_A5	sentence_xcomet	higher_is_better	ok		2000	0.9147839483786372	0.9074731102213262	-0.007310838157311092	-0.009877598806843168	-0.004831094171293091	9.999000099990002e-05	0.0010998900109989002
P5_GRPO_A2	P5_GRPO_A5	astred_ted	lower_is_better	ok		1938	3.7284677845943075	3.7375735432368087	0.009105758642501174	-0.09739814119808275	0.11293742941094603	0.8680131986801319	1.0
P5_GRPO_A2	P5_GRPO_A5	astred_word_cross	lower_is_better	ok		1938	1.3354648579180735	1.2437377596240764	-0.09172709829399692	-0.27051074701891653	0.07185265863809219	0.3084691530846915	1.0
P5_GRPO_A2	P5_GRPO_A5	astred_seq_cross	lower_is_better	ok		1938	0.44597150604082053	0.4256833972299503	-0.02028810881087027	-0.06055995575710203	0.01472527444584906	0.31556844315568444	1.0
P5_GRPO_A2	P5_GRPO_A5	astred_sacr_cross	lower_is_better	ok		1938	0.5679381874502264	0.5267862738811268	-0.041151913569099675	-0.09911479671087198	0.009032022183406957	0.13288671132886712	0.7973202679732028
P5_GRPO_A2	P5_GRPO_A5	astred_source_prediction_ted	lower_is_better	ok		1838	8.658268280750766	8.489125675122525	-0.1691426056282424	-0.24421863497169993	-0.09532028554164251	9.999000099990002e-05	0.0010998900109989002
P5_GRPO_A2	P5_GRPO_A5	astred_source_prediction_word_cross	lower_is_better	ok		1838	2.80299236426604	2.5577618086779648	-0.2452305555880754	-0.38052609754371913	-0.1165358074851926	9.999000099990002e-05	0.0010998900109989002
P5_GRPO_A2	P5_GRPO_A5	astred_source_prediction_seq_cross	lower_is_better	ok		1838	1.8751139242098362	1.7176995659205478	-0.1574143582892885	-0.24135905294637858	-0.0818662059663722	9.999000099990002e-05	0.0010998900109989002
P5_GRPO_A2	P5_GRPO_A5	astred_source_prediction_sacr_cross	lower_is_better	ok		1838	2.1279357056638943	1.9413879064931168	-0.18654779917077766	-0.2893666173894987	-0.09581568474686614	9.999000099990002e-05	0.0010998900109989002
